Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2024-07-02T19:01:14+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-07-02T19:01:27+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-04,,"Cerrada Amores"
2024-07-02T19:01:40+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-07-02T19:01:47+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-07-02T19:04:06+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,"Saldo positivo que existia de Marzo 2022",,"Cerrada Amores"
2024-07-02T21:45:46+00:00,Operación,Expense,Proyectos,-273.00000000,MXN,"Busqueda del folio PROSOC",701,"Cerrada Amores"
2024-07-02T21:46:03+00:00,Operación,Expense,Proyectos,-273.00000000,MXN,"Impresión busqueda PROSOC",701,"Cerrada Amores"
2024-07-02T21:46:54+00:00,Operación,Expense,Proyectos,-273.00000000,MXN,PROSOC,701,"Cerrada Amores"
2024-07-05T16:17:51+00:00,Operación,Expense,Seguridad,-19500.00000000,MXN,"SESPATE Junio",,"Cerrada Amores"
2024-07-05T16:53:07+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-04,,"Cerrada Amores"
2024-07-05T16:53:16+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-05,,"Cerrada Amores"
2024-07-05T16:53:24+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-06,,"Cerrada Amores"
2024-07-13T19:46:10+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-02,,"Cerrada Amores"
2024-07-13T19:50:21+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-02,,"Cerrada Amores"
2024-07-24T00:57:15+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Adrian","Limpieza,401","Cerrada Amores"
2024-07-26T15:26:58+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Jose","Limpieza,401","Cerrada Amores"
2024-07-29T15:26:33+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Adrian","Limpieza,401","Cerrada Amores"
2024-07-31T18:25:58+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-07-31T18:26:04+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-07-31T18:27:22+00:00,Operación,Expense,Servicios,-389.00000000,MXN,TELMEX,TELMEX,"Cerrada Amores"
2024-08-01T16:50:00+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Jose",Limpieza,"Cerrada Amores"
2024-08-01T17:03:11+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T17:03:44+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T17:04:07+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T17:04:32+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T17:05:11+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T17:06:21+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T18:29:06+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-01T18:29:16+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-08-03T00:25:07+00:00,Operación,Expense,Seguridad,-16176.92000000,MXN,"SESPATE (Julio) ",,"Cerrada Amores"
2024-08-06T18:05:58+00:00,Operación,Expense,Servicios,-106.00000000,MXN,Naturgy,,"Cerrada Amores"
2024-08-08T16:50:35+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Adrian",Limpieza,"Cerrada Amores"
2024-08-10T06:19:38+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-08-10T06:19:59+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-08-10T16:59:36+00:00,Operación,Expense,Proyectos,-199.00000000,MXN,"Libro de Actas Lumen",401,"Cerrada Amores"
2024-08-10T17:00:00+00:00,Operación,Expense,Proyectos,-28.80000000,MXN,"Copias Asamblea PROSOC",401,"Cerrada Amores"
2024-08-11T16:43:23+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Jose",Limpieza,"Cerrada Amores"
2024-08-14T17:30:44+00:00,Operación,Expense,Servicios,-200.00000000,MXN,"Limpieza Adrian",Limpieza,"Cerrada Amores"
2024-08-19T21:48:12+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-08-24T06:22:45+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-08-24T06:23:11+00:00,Operación,Expense,Servicios,-94.00000000,MXN,"Material limpieza",Limpieza,"Cerrada Amores"
2024-08-27T13:48:21+00:00,Operación,Expense,Servicios,-3235.00000000,MXN,CFE,CFE,"Cerrada Amores"
2024-08-29T13:44:51+00:00,Operación,Expense,Seguridad,-23000.00000000,MXN,"SESPATE Agosto (Ultimo)",Pendiente,"Cerrada Amores"
2024-08-31T17:55:03+00:00,Operación,Expense,Servicios,-1100.00000000,MXN,"Adrian. Limpieza mitad agosto y días de transición",Limpieza,"Cerrada Amores"
2024-08-31T17:56:18+00:00,Operación,Expense,Servicios,-750.00000000,MXN,"Jose. Limpieza mitad agosto y días de transición",Limpieza,"Cerrada Amores"
2024-09-01T18:47:03+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2024-03,,"Cerrada Amores"
2024-09-01T18:48:00+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2024-02,,"Cerrada Amores"
2024-09-02T04:08:20+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-04,,"Cerrada Amores"
2024-09-02T04:12:59+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-04,,"Cerrada Amores"
2024-09-02T04:14:11+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-09-02T04:18:36+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-09-02T04:22:14+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-09-02T17:57:50+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-09-02T18:43:50+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-09-02T18:49:07+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-09-04T20:12:39+00:00,Operación,Expense,Proyectos,-150.00000000,MXN,"Cambiar llave de agua del estacionamiento. 150 llave, 50 mano de obra de Pablo",,"Cerrada Amores"
2024-09-10T14:55:02+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-07,,"Cerrada Amores"
2024-09-10T14:55:10+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-08,,"Cerrada Amores"
2024-09-10T19:32:15+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-09-10T19:32:49+00:00,Operación,Expense,Seguridad,-12000.00000000,MXN,ESTENSE,,"Cerrada Amores"
2024-09-21T16:08:19+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-09-25T21:02:28+00:00,Operación,Expense,Seguridad,-8000.00000000,MXN,"ESTENSE 2/2",,"Cerrada Amores"
2024-09-30T20:14:37+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-09-30T20:14:42+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-10-01T04:04:57+00:00,Operación,Expense,Servicios,-1400.00000000,MXN,"Limpieza Adrian",Limpieza,"Cerrada Amores"
2024-10-01T04:05:23+00:00,Operación,Expense,Servicios,-1050.00000000,MXN,"Limpieza Jose",Limpieza,"Cerrada Amores"
2024-10-01T14:19:01+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-01T14:21:08+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-01T14:22:24+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2024-01,,"Cerrada Amores"
2024-10-01T14:23:11+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2023-12,,"Cerrada Amores"
2024-10-01T16:13:41+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-01T17:54:31+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-10-01T18:09:51+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-10-01T19:04:31+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-02T04:14:42+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-02T04:19:07+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-02T04:22:51+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-10-10T19:32:49+00:00,Operación,Expense,Seguridad,-10000.00000000,MXN,"ESTENSE 1/2",,"Cerrada Amores"
2024-10-25T21:02:28+00:00,Operación,Expense,Seguridad,-10000.00000000,MXN,"ESTENSE 2/2",,"Cerrada Amores"
2024-10-31T14:45:04+00:00,Operación,Expense,Servicios,-154.00000000,MXN,Gas,gas,"Cerrada Amores"
2024-10-31T14:45:19+00:00,Operación,Expense,Servicios,-1167.00000000,MXN,TELMEX,TELMEX,"Cerrada Amores"
2024-10-31T14:45:40+00:00,Operación,Expense,Servicios,-3539.00000000,MXN,Luz,CFE,"Cerrada Amores"
2024-10-31T14:45:54+00:00,Operación,Expense,Servicios,-1400.00000000,MXN,"Limpieza Jose",Limpieza,"Cerrada Amores"
2024-10-31T14:46:36+00:00,Operación,Expense,Servicios,-1750.00000000,MXN,"Limpieza Adrián",Limpieza,"Cerrada Amores"
2024-10-31T14:46:50+00:00,Operación,Expense,Servicios,-224.00000000,MXN,"Productos Limpieza",Limpieza,"Cerrada Amores"
2024-11-01T14:19:31+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-01T14:26:27+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-11-01T14:27:43+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-11-01T14:48:57+00:00,Operación,Expense,Servicios,-389.00000000,MXN,TELMEX,TELMEX,"Cerrada Amores"
2024-11-01T16:13:50+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-01T16:17:22+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-01T18:25:39+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-01T19:04:55+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-02T04:19:41+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-12T16:16:21+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-11-12T16:16:32+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
